This file was downloaded on February 26 2018 4:12:17 AM UTC-08:00
Keywords,footwear
Date Range,2015-02-24 - 2018-02-24
Site: ,ebay.com.au
Listing Format: ,FixedPrice,StoresFixedPrice
Buyer Country: ,AU
Seller Country: ,AU
Category: ,Clothing, Shoes, Accessories

Date,Items Sold,Average Selling Price,Total Sales
2016-08-02,16,37.10 USD,593.52 USD
2016-08-03,28,44.79 USD,1254.20 USD
2016-08-04,26,47.57 USD,1236.89 USD
2016-08-05,17,55.80 USD,948.59 USD
2016-08-06,24,52.62 USD,1262.88 USD
2016-08-07,70,50.18 USD,3512.68 USD
2016-08-08,59,49.49 USD,2919.78 USD
2016-08-09,33,48.66 USD,1605.80 USD
2016-08-10,54,55.17 USD,2979.20 USD
2016-08-11,27,52.97 USD,1430.32 USD
2016-08-12,26,55.29 USD,1437.41 USD
2016-08-13,39,52.13 USD,2033.24 USD
2016-08-14,43,50.56 USD,2174.07 USD
2016-08-15,40,60.75 USD,2429.95 USD
2016-08-16,38,63.53 USD,2414.27 USD
2016-08-17,50,62.82 USD,3141.11 USD
2016-08-18,51,74.06 USD,3777.29 USD
2016-08-19,33,76.89 USD,2537.53 USD
2016-08-20,47,50.88 USD,2391.17 USD
2016-08-21,48,54.70 USD,2625.54 USD
2016-08-22,43,54.54 USD,2345.10 USD
2016-08-23,36,66.11 USD,2380.12 USD
2016-08-24,55,69.78 USD,3838.16 USD
2016-08-25,40,66.45 USD,2658.06 USD
2016-08-26,41,59.22 USD,2428.16 USD
2016-08-27,57,70.42 USD,4014.03 USD
2016-08-28,54,61.42 USD,3316.90 USD
2016-08-29,24,63.30 USD,1519.08 USD
2016-08-30,38,50.74 USD,1927.99 USD
